sigma,PRCC_b_oprob,PRCC_muv_oprob,PRCC_tvh_oprob,PRCC_fake_oprob,PRCC_b_eprob,PRCC_muv_eprob,PRCC_tvh_eprob,PRCC_fake_eprob
0.0,0.8327369396091209,-0.7217390109590353,0.7586392803102375,0.03588032139110889,0.7044361186353565,-0.6070430538954911,0.6276000281628529,-0.04598336275592504
0.02,0.8391367751756145,-0.7328567407343677,0.7688254186415565,0.061200672085384746,0.7066548106852637,-0.6046482981707736,0.6278416330718123,-0.04357233281641186
0.04,0.8300929246403244,-0.7029834706122706,0.7450176972819088,0.0345905429338526,0.674239636074849,-0.5297926781399456,0.6195631101020841,-0.08443713079923361
0.06,0.8322654368314646,-0.7119525928875373,0.7514008163727719,0.0645025751003572,0.6770130787577362,-0.5247120433670011,0.6195292030351399,-0.0850961310621011
0.08,0.8630911406842225,-0.7396922624353871,0.7828861474421231,0.06130589208415622,0.6471783649122345,-0.5111537203304499,0.5783016129156148,-0.06350667780537766
0.1,0.8712633068531727,-0.741475762999185,0.7876063869769984,0.07353194915592078,0.6552317631991413,-0.5007092556826089,0.5801136738410007,-0.05848293390742289
0.12,0.8766320446283328,-0.7208850334555369,0.8005904911041629,0.057914540483282165,0.6454575438592509,-0.45532542685972693,0.5597357429127661,-0.031162583072095854
0.14,0.8985129897734332,-0.7627198151067707,0.8149823701875673,0.09628198960782682,0.6345218771473291,-0.4500494234822166,0.5607595056622197,-0.05036294218446171
0.16,0.9053361755970724,-0.769567000445633,0.8252595932599079,0.12423364642102631,0.6246075950153984,-0.440476372216153,0.521965012476508,-0.044300232592096096
0.18,0.9341950218820181,-0.82791390668898,0.8604626538436783,0.14679954745726304,0.6202883747066376,-0.4258038053719654,0.5283590313239307,-0.04940659338135198
0.2,0.9495380095199196,-0.8595758352586879,0.8943879823118687,0.18785435488881397,0.6125297293583197,-0.386901663960073,0.4871575235096592,-0.07635651424500728
0.22,0.9401736385684897,-0.8380315874088904,0.8755941536959885,0.14017852214020976,0.5959920677364555,-0.3076815372860815,0.4206953789329383,-0.13496689000296205
0.24,0.9561080029443917,-0.874721910227343,0.8964942462316382,0.22928364043943505,0.5891274842906536,-0.302090583975979,0.37742785974847354,-0.15614034330254495
0.26,0.956822678676007,-0.8643091378797944,0.895582508356637,0.1941090095412965,0.5910714239204873,-0.2892631217542848,0.379209056292576,-0.15504053423204175
0.28,0.958258090519133,-0.8624564879377439,0.8909267794155438,0.20451768982042054,0.5661981780988313,-0.2484090819100001,0.3862287085842014,-0.16775626249971795
0.3,0.959988817253195,-0.8691867984579266,0.8934656785848566,0.204750397766078,0.5414247426651582,-0.221740474702755,0.310498772614025,-0.1861581884311439
0.32,0.9627418989611013,-0.8723671902869771,0.8956734464709889,0.16323680709985786,0.5176496512637547,-0.1669017962414623,0.2809389817930538,-0.21835342070700625
0.34,0.9639939972019643,-0.8754847795856587,0.8970465253317843,0.15794277795578168,0.48621043101229616,-0.1611306962189015,0.23575675564878742,-0.24245951004918787
0.36,0.967347074556627,-0.8830683473401432,0.9015379443439643,0.16822750288964028,0.42633404267239705,-0.12177567659798852,0.23941638211374952,-0.26437978529945616
0.38,0.9676321385392384,-0.8813971002655643,0.9027421601394988,0.19898738311983116,0.4269960310917549,-0.12040310122839291,0.2387036112201471,-0.2647346825826968
0.4,0.9665825300283929,-0.8727024964455499,0.890446465362785,0.15469955109115735,0.4054896539888449,-0.13443984745589063,0.19219258026046845,-0.24231360138804878
