Thv,sigma,prob_end_mean,prob_end_25,prob_end_75,prob_out10_mean,prob_out10_25,prob_out10_75,prob_out100_mean,prob_out100_25,prob_out100_75,max_cases_all_mean,max_cases_all_25,max_cases_all_75,max_cases_out_mean,max_cases_out_25,max_cases_out_75,num_cases_mean,num_cases_25,num_cases_75,end_time_mean,end_time_25,end_time_75,end_time_out_mean,end_time_out_25,end_time_out_75,time_max_mean,time_max_25,time_max_75
0.0245,0.0,0.24448000000000003,0.21,0.27,0.27847999999999995,0.25,0.31,0.24448000000000003,0.21,0.27,126.65775673715383,109.89975260008475,141.6705213998846,2.998365731728663,2.6816905181177813,3.267100509361919,95.36052098848374,82.90463573426892,107.29828274905316,1000.5309,887.685,1099.7175,143.09066376504032,126.50300625300625,157.96606746911624,703.8739599999999,617.485,783.5
0.0245,0.02,0.22968000000000005,0.2,0.26,0.27046000000000003,0.24,0.3,0.22968000000000005,0.2,0.26,137.26967880348343,119.03886092287819,155.26984672394872,3.13234171587194,2.794699466784462,3.4253875926028123,86.0803286819032,74.59821494967599,97.60933984368924,948.8168800000001,838.9475,1058.3875,143.5715956973055,126.7702067669173,159.6986301369863,655.34855,573.76,734.335
0.0245,0.04,0.19957000000000005,0.17,0.23,0.25093,0.22,0.28,0.19967000000000001,0.17,0.23,145.51336713677279,124.11669756388638,165.03736383707502,3.537682843408525,3.021296438530124,3.930861162452203,65.9268100752245,54.68326784658532,76.60420596385248,847.0902899999999,739.48,948.2125,148.2200434869964,129.72138278388277,164.55907507127017,560.8722899999998,481.0725,638.5025
0.0245,0.06,0.14269,0.12,0.16,0.23004,0.2,0.26,0.15039,0.13,0.17,123.09989498876062,102.05302318191553,141.5465765052881,7.800303327479768,4.685434483696379,9.206592948891794,36.96680394033612,28.631260755231757,44.26993712006304,678.4697800000001,590.0225,759.1975,183.87676296552667,159.00412087912088,205.32300794085432,421.48861999999997,356.6825,481.94500000000005
0.0245,0.08,0.06902999999999997,0.05,0.09,0.18932000000000002,0.16,0.21,0.10105000000000001,0.08,0.12,82.69832317299512,63.21335312519881,100.00177458574352,21.970640012663964,12.246635188932746,29.649459621350623,12.869618169940157,7.237321385994151,17.566821011138252,465.20413,390.75,533.7925,229.02366815158265,195.06442847124822,262.15384615384613,265.5125100000001,214.655,310.73749999999995
0.0245,0.1,0.019460000000000012,0.01,0.03,0.16672000000000006,0.14,0.19,0.06617999999999997,0.05,0.08,50.25142124415335,33.63207037479573,62.89472508787593,30.059408886477176,19.03834287555518,37.62888239811313,2.655201900380316,0.2937825394008397,3.9731298890002504,302.73210000000006,257.82,343.25,236.24681907522321,204.75181464338314,267.0773195876289,152.56188,126.39,173.51
0.0245,0.12,0.0034600000000000004,0.0,0.01,0.14188,0.12,0.17,0.03999000000000002,0.03,0.05,29.40967041169621,16.855365299389366,39.97393490162217,25.148951364949344,15.312163262730092,32.463998041977504,0.17283359800187095,0.0,0.010067392418775576,192.66293,161.97,221.5375,180.66373551714017,154.72979797979798,205.36641414141417,93.1032,76.17250000000001,109.4525
0.0245,0.14,0.0002,0.0,0.0,0.11438999999999999,0.09,0.14,0.028050000000000016,0.02,0.04,22.37973859433046,10.342681944082077,30.580304951453186,22.12295635534543,10.218347354214542,30.419870385537816,0.007864512259229756,0.0,0.0,133.36672000000007,113.6125,151.585,132.6647916161616,113.28984848484848,150.805,65.19564000000001,55.0425,73.49
0.0245,0.16,0.0001,0.0,0.0,0.09734999999999998,0.08,0.11,0.021680000000000012,0.01,0.03,14.924409442986036,6.951234776017214,20.351224824165588,14.67781707786776,6.898042046738707,20.051721709812202,0.012626844813705474,0.0,0.0,99.93567,87.665,110.61,99.5802286868687,87.625,110.05499999999999,48.538470000000004,41.42,55.057500000000005
0.0245,0.18,0.0,0.0,0.0,0.07689,0.06,0.1,0.014440000000000007,0.01,0.02,11.119542526070417,4.705687933676605,13.02530060988606,11.119542526070418,4.705687933676605,13.02530060988606,0.0,0.0,0.0,74.28639,64.8775,82.50999999999999,74.28639000000001,64.8775,82.50999999999999,36.38772000000001,31.11,40.2325
0.0245,0.2,0.0,0.0,0.0,0.06901999999999998,0.05,0.09,0.012870000000000005,0.0,0.02,11.215589900184034,3.938114262266258,13.306656550301103,11.215589900184034,3.9381142622662586,13.306656550301103,0.0,0.0,0.0,60.04016,51.955,66.32249999999999,60.04016,51.955,66.32249999999999,29.72017,25.009999999999998,33.355000000000004
0.0245,0.22,0.0,0.0,0.0,0.061720000000000004,0.05,0.08,0.00996,0.0,0.02,7.79959316283676,3.4556185950138616,9.195464025602726,7.799593162836761,3.4556185950138616,9.195464025602726,0.0,0.0,0.0,50.74549999999999,44.8125,55.975,50.7455,44.8125,55.975,25.50555,22.1175,28.4525
0.0245,0.24,0.0,0.0,0.0,0.04980999999999999,0.03,0.06,0.007060000000000003,0.0,0.01,6.636058994269971,2.713762666419773,6.135832329190127,6.636058994269971,2.713762666419773,6.135832329190127,0.0,0.0,0.0,40.642360000000004,35.335,45.089999999999996,40.642360000000004,35.335,45.09,20.723590000000005,17.8975,23.215
0.0245,0.26,0.0,0.0,0.0,0.048969999999999986,0.04,0.06,0.00654,0.0,0.01,6.258009731782505,2.6747708268305512,5.90830945229146,6.258009731782502,2.6747708268305517,5.908309452291459,0.0,0.0,0.0,34.87294,31.177500000000002,38.4325,34.87294,31.1775,38.4325,18.233919999999994,16.24,19.9025
0.0245,0.28,0.0,0.0,0.0,0.04981,0.03,0.06,0.0073100000000000005,0.0,0.01,6.465221512682549,2.616239955579141,6.654832344061809,6.465221512682549,2.616239955579141,6.654832344061809,0.0,0.0,0.0,32.33069,28.255000000000003,35.6825,32.33069,28.255,35.6825,16.930149999999998,14.9575,18.68
0.0245,0.3,0.0,0.0,0.0,0.04205,0.03,0.05,0.005960000000000002,0.0,0.01,5.579540610533122,2.275430690956616,5.601938186233647,5.579540610533122,2.2754306909566164,5.601938186233646,0.0,0.0,0.0,27.866739999999993,25.0475,30.3825,27.866739999999997,25.0475,30.3825,14.63836,12.82,16.16
0.0245,0.32,0.0,0.0,0.0,0.03853,0.02,0.05,0.006420000000000003,0.0,0.01,6.439393562230704,2.1626015235203564,6.776032668438196,6.439393562230704,2.1626015235203564,6.776032668438196,0.0,0.0,0.0,24.754080000000002,21.9175,27.33,24.754080000000002,21.9175,27.33,13.284889999999997,11.7,14.5525
0.0245,0.34,0.0,0.0,0.0,0.035900000000000015,0.02,0.05,0.005910000000000002,0.0,0.01,6.145608588561545,1.957581727526591,5.230643088971548,6.145608588561545,1.957581727526591,5.230643088971547,0.0,0.0,0.0,21.90652,19.235,24.415,21.906519999999997,19.235,24.415,11.80251,10.41,13.09
0.0245,0.36,0.0,0.0,0.0,0.03949000000000001,0.03,0.05,0.006040000000000002,0.0,0.01,6.291907600107063,2.062789474776488,5.863416416067136,6.291907600107064,2.062789474776488,5.863416416067136,0.0,0.0,0.0,20.735859999999995,18.39,22.535,20.73586,18.39,22.535,11.264299999999999,9.995000000000001,12.1
0.0245,0.38,0.0,0.0,0.0,0.03499000000000002,0.02,0.05,0.0053100000000000005,0.0,0.01,5.395288371905596,1.810418720804777,5.038366904665359,5.395288371905595,1.8104187208047773,5.038366904665359,0.0,0.0,0.0,18.555259999999993,16.55,20.36,18.55526,16.55,20.36,10.197059999999999,9.04,11.2225
0.0245,0.4,0.0,0.0,0.0,0.038960000000000015,0.03,0.05,0.0052000000000000015,0.0,0.01,4.692524290262771,1.877940910087863,4.650300433546487,4.692524290262771,1.877940910087863,4.650300433546487,0.0,0.0,0.0,17.585979999999996,15.32,19.64,17.58598,15.32,19.64,9.621010000000002,8.4,10.615
