gamma,sigma,prob_end_mean,prob_end_25,prob_end_75,prob_out10_mean,prob_out10_25,prob_out10_75,prob_out100_mean,prob_out100_25,prob_out100_75,max_cases_all_mean,max_cases_all_25,max_cases_all_75,num_cases_mean,num_cases_25,num_cases_75,end_time_mean,end_time_25,end_time_75,time_max_mean,time_max_25,time_max_75
2.4930747922437675,0.0,0.9709999999999999,0.97,0.97,0.9709999999999999,0.97,0.97,0.9709999999999999,0.97,0.97,2752.547650394828,2748.2813981294858,2751.0541016890556,1210.8539350560836,1175.1222415586594,1235.7327292038108,3545.096,3541.34,3541.5575,1999.8760000000002,1971.3175,2038.025
2.4930747922437675,0.02,0.9890000000000001,0.99,0.99,0.9890000000000001,0.99,0.99,0.9890000000000001,0.99,0.99,2896.6276247411465,2897.7062868708745,2900.5212900723086,1236.217472335524,1198.6819998515016,1287.8191032341795,3610.101999999999,3613.71,3613.74,2253.193,2226.8475,2281.42
2.4930747922437675,0.04,0.975,0.97,0.98,0.975,0.97,0.98,0.975,0.97,0.98,3038.1281530166802,3021.962546359827,3057.0785167071963,1226.5267107022826,1194.6222601140948,1248.3905445996427,3560.446,3542.5575,3578.77,2123.028,2083.3725,2160.4625
2.4930747922437675,0.06,0.9800000000000001,0.9724999999999999,0.9875,0.9800000000000001,0.9724999999999999,0.9875,0.9800000000000001,0.9724999999999999,0.9875,3245.6215275544646,3219.2114818572127,3273.1820909623975,1144.797932298794,1064.7446812951653,1162.8196642667535,3577.4480000000003,3550.4449999999997,3604.515,2158.143,2152.9449999999997,2180.215
2.4930747922437675,0.08,0.991,0.99,0.99,0.991,0.99,0.99,0.991,0.99,0.99,3493.3363175857035,3486.6884885326454,3490.8925362237615,1226.5090828470634,1204.2537028665008,1238.1657548231692,3617.4380000000006,3613.82,3613.82,2064.295,2023.32,2100.32
2.4930747922437675,0.1,0.9349999999999998,0.93,0.94,0.9349999999999998,0.93,0.94,0.9349999999999998,0.93,0.94,3498.6915328936566,3463.1667065655924,3530.638349081999,1408.1933096562368,1355.6760362579662,1450.7744468387532,3414.986,3396.9575,3433.09,1938.0549999999998,1896.0175,1972.775
2.4930747922437675,0.12,0.9730000000000001,0.97,0.97,0.9730000000000001,0.97,0.97,0.9730000000000001,0.97,0.97,3825.78427474451,3808.489160464312,3819.4093381486646,1413.3110673110439,1292.7187778145685,1506.5946861012487,3552.2339999999995,3541.35,3541.46,2121.861,2112.2275,2142.825
2.4930747922437675,0.14,0.9820000000000002,0.98,0.99,0.9820000000000002,0.98,0.99,0.9820000000000002,0.98,0.99,4156.228306607409,4140.276471820983,4188.502900978518,1214.9794446250546,1125.0220771684665,1270.3521004962492,3585.0370000000003,3577.47,3613.82,2106.05,2054.2875,2132.745
2.4930747922437675,0.16,0.9890000000000001,0.99,0.99,0.9890000000000001,0.99,0.99,0.9890000000000001,0.99,0.99,4354.556597486282,4352.212284394644,4358.6623227181135,1039.2891858547773,990.391449151796,1116.5482416273212,3610.1169999999997,3613.68,3613.68,2187.7560000000003,2162.56,2196.2400000000002
2.4930747922437675,0.18,0.9349999999999998,0.93,0.94,0.9349999999999998,0.93,0.94,0.9349999999999998,0.93,0.94,4357.312800016738,4306.730505226594,4404.861699029115,1179.611110953739,1156.9415110863042,1192.5151872597085,3415.1810000000005,3397.19,3433.18,2010.596,1963.2624999999998,2051.15
2.4930747922437675,0.2,0.9489999999999998,0.94,0.9575,0.9489999999999998,0.94,0.9575,0.9489999999999998,0.94,0.9575,4601.056399152503,4584.244653639678,4629.214734144922,1281.7317616776895,1229.0148280515468,1370.0313076584248,3465.1659999999997,3432.69,3495.8424999999997,2050.777,2030.8125,2085.015
2.4930747922437675,0.22,0.9179999999999999,0.91,0.93,0.9179999999999999,0.91,0.93,0.9179999999999999,0.91,0.93,4705.961944815235,4653.127343758574,4759.932430609042,997.2456362023697,885.5768085600437,1127.2058032476511,3353.8839999999996,3324.565,3397.2325,1934.7959999999998,1909.8325,1967.8899999999999
2.4930747922437675,0.24,0.95,0.9424999999999999,0.95,0.95,0.9424999999999999,0.95,0.95,0.9424999999999999,0.95,5052.799592979258,5006.032053921579,5084.762234573852,1202.2255993136944,1204.3686825807704,1249.0343202642891,3468.624,3441.355,3468.72,2053.73,2018.875,2089.4725
2.4930747922437675,0.26,0.867,0.8525,0.885,0.876,0.855,0.8875,0.867,0.8525,0.885,4834.279916397656,4732.112429484484,4915.709315321563,869.5415222545856,841.4250235937806,911.5830142423562,3171.1220000000003,3118.3275,3234.6925,1892.9919999999997,1839.4225000000001,1928.4750000000001
2.4930747922437675,0.28,0.917,0.91,0.92,0.922,0.92,0.92,0.917,0.91,0.92,5175.436179843287,5123.241390347168,5221.1568842974675,1065.2196037527137,991.5599892807118,1123.5019246088518,3350.5099999999998,3326.01,3360.9,2133.865,2096.775,2176.1549999999997
2.4930747922437675,0.3,0.859,0.85,0.8674999999999999,0.859,0.85,0.8674999999999999,0.859,0.85,0.8674999999999999,5165.408862042518,5133.451506347718,5196.803465492544,662.7755375333398,646.4752914871694,672.5974502827706,3139.4379999999996,3106.195,3170.9775,1831.841,1774.9575,1897.4275
2.4930747922437675,0.32,0.899,0.89,0.9075,0.899,0.89,0.9075,0.899,0.89,0.9075,5445.438438170406,5390.922692884593,5500.014956489634,673.7252679739606,632.5631498254285,706.1425589402786,3285.9939999999997,3254.32,3316.265,1876.248,1849.0675,1899.615
2.4930747922437675,0.34,0.8370000000000001,0.8225,0.8574999999999999,0.86,0.85,0.87,0.8370000000000001,0.8225,0.8574999999999999,5179.208128340868,5052.723052228229,5344.0044430463295,880.0149692770462,853.8019664174917,903.1460266734358,3067.3990000000003,3017.125,3139.245,1780.4279999999999,1701.57,1839.8274999999999
2.4930747922437675,0.36,0.8320000000000001,0.82,0.84,0.8320000000000001,0.82,0.84,0.8320000000000001,0.82,0.84,5286.980224679381,5147.1526130189395,5432.144246652511,619.1079737500456,588.1213808458708,665.4220051159809,3044.18,3001.5125000000003,3072.895,1771.6169999999997,1680.08,1840.2925
2.4930747922437675,0.38,0.884,0.8825000000000001,0.89,0.8990000000000002,0.9,0.91,0.884,0.8825000000000001,0.89,5716.716116211056,5680.849186814736,5840.358125721696,752.1521308648321,718.1570419491576,783.1676094788738,3236.764,3233.4474999999998,3259.9425,1876.3739999999998,1857.0049999999999,1922.885
2.4930747922437675,0.4,0.748,0.74,0.7575000000000001,0.8310000000000001,0.82,0.8374999999999999,0.773,0.77,0.7875000000000001,5238.05620806636,5211.290451883202,5301.169084490565,547.6930542825373,519.7180726825103,576.7559091119906,2803.381,2793.71,2839.5125,1658.057,1609.25,1706.8174999999999
2.0408163265306123,0.0,0.9880000000000001,0.99,0.99,0.9880000000000001,0.99,0.99,0.9880000000000001,0.99,0.99,2809.264344682362,2813.320357134409,2815.6820313233275,1201.140647030794,1175.1338401321577,1241.9052275230863,3606.500000000001,3613.67,3613.83,2084.2670000000003,2036.52,2132.9375
2.0408163265306123,0.02,0.9870000000000003,0.98,0.9975,0.9870000000000003,0.98,0.9975,0.9870000000000003,0.98,0.9975,2888.4938796495844,2867.273272930721,2918.6214604363117,1262.6864659206033,1209.4119994502012,1289.4938064432035,3602.7470000000003,3577.3,3640.9175,2129.9190000000003,2060.515,2205.3100000000004
2.0408163265306123,0.04,0.9860000000000001,0.98,0.99,0.9860000000000001,0.98,0.99,0.9860000000000001,0.98,0.99,3067.984102296704,3048.306163078423,3082.1430749866286,1476.3555531101715,1442.1457576684593,1555.0399750925005,3599.0630000000006,3577.3325,3613.55,2046.016,2034.1550000000002,2063.355
2.0408163265306123,0.06,0.99,0.98,1.0,0.99,0.98,1.0,0.99,0.98,1.0,3285.57574625432,3251.0512667156254,3320.2328501832862,1185.5309739941397,1154.806350509438,1231.481444019881,3613.746,3577.52,3650.0,2082.82,2043.6925,2129.1425
2.0408163265306123,0.08,0.993,0.99,0.9975,0.993,0.99,0.9975,0.993,0.99,0.9975,3514.4791205440088,3502.753916820109,3530.7552618110176,1316.2994086693311,1290.7534984710294,1348.2397849511806,3624.9119999999994,3614.16,3641.04,2224.576,2193.2400000000002,2252.9750000000004
2.0408163265306123,0.1,0.9940000000000001,0.99,1.0,0.9940000000000001,0.99,1.0,0.9940000000000001,0.99,1.0,3725.183419730968,3703.050449309866,3748.782451942584,1085.5443459258938,997.8152889065084,1148.6974111768163,3628.3160000000003,3613.92,3650.0,2171.63,2138.0225,2202.095
2.0408163265306123,0.12,0.998,1.0,1.0,0.998,1.0,1.0,0.998,1.0,1.0,3991.5327275646814,3983.936338654477,4006.142065354795,1141.3103975138044,1100.8289270705811,1181.512995208744,3642.7380000000003,3650.0,3650.0,2114.692,2100.4449999999997,2140.425
2.0408163265306123,0.14,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,4186.909140758201,4184.454527110064,4208.850290871667,1045.0259255447806,984.7314196543466,1150.4362286258552,3613.8959999999997,3614.07,3614.07,2061.943,2047.815,2085.6725
2.0408163265306123,0.16,0.9760000000000002,0.97,0.98,0.9760000000000002,0.97,0.98,0.9760000000000002,0.97,0.98,4303.158428913384,4274.791990699483,4326.584369984271,1231.7493775514365,1215.027644413366,1263.847043415304,3563.0740000000005,3541.2,3577.63,2099.048,2050.5725,2148.805
2.0408163265306123,0.18,0.9680000000000002,0.96,0.9775,0.9680000000000002,0.96,0.9775,0.9680000000000002,0.96,0.9775,4443.072635524361,4381.2795940828855,4493.701207845892,1250.404302457199,1225.967075843378,1280.9833757369822,3533.932,3504.85,3568.4500000000003,2090.918,2037.02,2135.1
2.0408163265306123,0.2,0.9649999999999999,0.9524999999999999,0.97,0.9649999999999999,0.9524999999999999,0.97,0.9649999999999999,0.9524999999999999,0.97,4736.004871650682,4670.079169895662,4789.558467522066,1063.5219375594636,1028.0718177812425,1102.1042449299737,3522.9629999999997,3477.4900000000002,3541.17,2102.946,2091.3575,2127.7025
2.0408163265306123,0.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5028.505025711224,5021.38024748283,5045.7920525023155,1387.5137092126163,1276.9531766605446,1503.6698423149037,3650.0,3650.0,3650.0,2049.157,2022.095,2093.0924999999997
2.0408163265306123,0.24,0.9820000000000002,0.98,0.9875,0.9820000000000002,0.98,0.9875,0.9820000000000002,0.98,0.9875,5196.436085019224,5146.765784663923,5224.846887286383,1158.963424977224,1136.2394123972344,1175.4384099515382,3584.7759999999994,3577.52,3604.7,2139.934,2112.4825,2169.3225
2.0408163265306123,0.26,0.9650000000000001,0.95,0.98,0.9650000000000001,0.95,0.98,0.9650000000000001,0.95,0.98,5352.104505643679,5260.59793477094,5451.606220656721,983.9568593056895,917.5224607074863,1036.9455327744108,3523.307,3469.11,3577.4,2039.3880000000001,2028.4675,2049.16
2.0408163265306123,0.28,0.9579999999999999,0.94,0.97,0.9579999999999999,0.94,0.97,0.9579999999999999,0.94,0.97,5526.996783849584,5362.553556232311,5662.539996975278,1059.6241481371476,1037.963955608223,1085.8396435029028,3497.405,3431.99,3541.01,2090.5690000000004,1966.9299999999998,2212.73
2.0408163265306123,0.3,0.967,0.96,0.9775,0.967,0.96,0.9775,0.967,0.96,0.9775,5801.897509895495,5755.725714448213,5859.950244643992,1039.5286860239132,998.9841538338072,1077.0311503364037,3530.54,3505.37,3568.3725000000004,1895.4180000000003,1806.7075,1943.7225
2.0408163265306123,0.32,0.93,0.9225000000000001,0.9375,0.933,0.93,0.94,0.93,0.9225000000000001,0.9375,5705.827676985154,5656.544794321103,5763.984496349265,1062.9081424673907,1025.1560877169263,1115.6339720897092,3396.893,3370.3275000000003,3423.9325,1949.0070000000003,1886.6675,1993.1275
2.0408163265306123,0.34,0.9189999999999999,0.91,0.9275,0.9209999999999999,0.9125000000000001,0.9275,0.9189999999999999,0.91,0.9275,5781.691732897112,5712.4132080415075,5832.668062643201,855.7113998328962,843.5915498149981,879.1007038319517,3357.6090000000004,3325.2149999999997,3388.145,1993.6490000000001,1947.2175,2041.0725
2.0408163265306123,0.36,0.8780000000000001,0.8625,0.89,0.882,0.8725,0.89,0.8780000000000001,0.8625,0.89,5694.826080532527,5635.5191558962315,5738.248110232166,645.9566048895284,625.8319764603254,669.6795048974769,3208.584,3152.9874999999997,3251.435,1973.393,1950.7075,2025.1925
2.0408163265306123,0.38,0.885,0.8825000000000001,0.89,0.9030000000000001,0.895,0.91,0.885,0.8825000000000001,0.89,5914.098653374502,5878.219290282348,5980.537410386473,892.9954874900259,837.1112281806461,963.908535397553,3236.0420000000004,3226.5,3254.6375,1804.7390000000003,1762.2075,1831.74
2.0408163265306123,0.4,0.8480000000000001,0.83,0.865,0.8719999999999999,0.8625,0.88,0.849,0.8325,0.865,5707.406789456458,5570.099922596512,5838.347500155809,634.4834740993722,614.7435863968126,674.5379923417928,3105.755,3043.6475,3164.77,1788.7810000000002,1760.9775,1811.3
1.44,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2303.1426709751627,2301.615609595374,2304.78840880362,1833.3912557075632,1830.3687649021654,1833.9904314510486,3650.0,3650.0,3650.0,2010.125,1993.13,2026.605
1.44,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2316.554644271773,2314.8050563293023,2318.145810111986,1858.7996414155964,1853.153207237492,1866.7238541763413,3650.0,3650.0,3650.0,1927.429,1887.455,1947.4875000000002
1.44,0.04,0.998,1.0,1.0,0.998,1.0,1.0,0.998,1.0,1.0,2348.484113253202,2343.3562836968044,2355.542129113066,1832.5526455189897,1827.8424237981942,1837.1263392524459,3642.7619999999997,3650.0,3650.0,1922.5819999999999,1881.625,1962.5625
1.44,0.06,0.9970000000000001,0.9924999999999999,1.0,0.9970000000000001,0.9924999999999999,1.0,0.9970000000000001,0.9924999999999999,1.0,2388.9540304971038,2376.3954357959324,2399.6935436992567,1810.3691722211515,1798.3910411968852,1822.0378774161131,3639.071,3622.6775000000002,3650.0,1840.7760000000003,1777.6675,1894.785
1.44,0.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2448.8843065311376,2446.3914979584165,2452.380797063031,1830.3059388573324,1820.4659519348736,1838.3525521114714,3650.0,3650.0,3650.0,1999.6650000000002,1976.4775,2035.965
1.44,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2506.404013058297,2503.792376766513,2508.6523123555176,1821.6603796317581,1817.1129545627966,1826.425537091051,3650.0,3650.0,3650.0,1969.6760000000002,1935.7275,2002.085
1.44,0.12,0.9960000000000001,0.99,1.0,0.9960000000000001,0.99,1.0,0.9960000000000001,0.99,1.0,2574.6983514389503,2564.45132845832,2582.0300620640796,1838.3334167963617,1828.5512480358527,1844.9812948378526,3635.46,3613.65,3650.0,2042.3310000000001,1998.165,2080.11
1.44,0.14,0.9970000000000001,0.9924999999999999,1.0,0.9970000000000001,0.9924999999999999,1.0,0.9970000000000001,0.9924999999999999,1.0,2662.104004369109,2644.6011757813644,2674.481471147292,1838.9985422032569,1833.3103783096087,1844.1236100827678,3639.1160000000004,3622.79,3650.0,2006.873,1976.5125,2038.6100000000001
1.44,0.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2756.500296472747,2754.147309548375,2760.529753007643,1831.9937431571957,1815.8228701469536,1842.9702177677625,3650.0,3650.0,3650.0,1868.0729999999999,1831.7749999999999,1902.6775
1.44,0.18,0.9969999999999999,0.9924999999999999,1.0,0.9969999999999999,0.9924999999999999,1.0,0.9969999999999999,0.9924999999999999,1.0,2816.3992567105815,2798.9099582748927,2829.7636163406337,1813.410605413438,1802.3612629477068,1819.1331524431712,3639.0979999999995,3622.745,3650.0,1971.85,1943.9275,1993.2
1.44,0.2,0.9810000000000002,0.98,0.98,0.9810000000000002,0.98,0.98,0.9810000000000002,0.98,0.98,2891.111917689753,2886.559245186434,2898.518473758866,1807.7343224956417,1796.4221145431966,1818.4027990986451,3581.142,3577.47,3577.57,2009.998,1974.415,2053.8225
1.44,0.22,0.9920000000000002,0.99,0.9975,0.9920000000000002,0.99,0.9975,0.9920000000000002,0.99,0.9975,3042.598034061324,3037.846785390057,3047.7495714786037,1833.0662336808805,1823.7103129650015,1843.3296279463368,3620.9170000000004,3613.65,3640.9125,1917.2169999999999,1884.1575,1943.7549999999999
1.44,0.24,0.998,1.0,1.0,0.998,1.0,1.0,0.998,1.0,1.0,3196.8967231648303,3185.243932688643,3227.099363835544,1805.7420125376807,1797.1223903321752,1818.9911697695964,3642.7880000000005,3650.0,3650.0,1948.5080000000003,1906.695,1994.22
1.44,0.26,0.9820000000000002,0.98,0.98,0.9820000000000002,0.98,0.98,0.9820000000000002,0.98,0.98,3316.714592622061,3299.2653183167536,3327.678201587593,1773.378939023034,1764.8952794119311,1781.7957420016521,3584.75,3577.5,3577.5,1949.7489999999998,1929.53,1981.6799999999998
1.44,0.28,0.9840000000000002,0.98,0.99,0.9840000000000002,0.98,0.99,0.9840000000000002,0.98,0.99,3438.250461015563,3379.595333951037,3487.3436186940958,1774.8720266110322,1774.0883323425942,1781.3884011299479,3591.989,3577.43,3613.84,1956.15,1908.22,1994.3225
1.44,0.3,0.976,0.955,0.9975,0.976,0.955,0.9975,0.976,0.955,0.9975,3659.9875400114965,3594.0289618832658,3744.30393334926,1748.4881886762832,1729.007112417151,1767.2093270469481,3562.932,3486.795,3640.885,1791.431,1740.6475,1817.3875
1.44,0.32,0.9950000000000001,0.99,1.0,0.9950000000000001,0.99,1.0,0.9950000000000001,0.99,1.0,3829.471937538663,3789.166620715573,3866.9399752495347,1760.3963697751128,1749.3228473391616,1781.8646361623325,3631.8269999999998,3613.65,3650.0,1909.0190000000002,1801.7775000000001,2009.51
1.44,0.34,0.991,0.98,1.0,0.991,0.98,1.0,0.991,0.98,1.0,4003.6130259193255,3973.879743820253,4024.1841016947556,1781.0795245069803,1773.6411707101822,1794.794141613634,3617.3020000000006,3577.33,3650.0,1890.607,1831.5475000000001,1945.7125
1.44,0.36,0.9840000000000002,0.98,0.99,0.9840000000000002,0.98,0.99,0.9840000000000002,0.98,0.99,4359.834203765253,4330.498481484875,4407.812307379298,1751.1633480508704,1734.5456690293095,1765.8045812015262,3591.8560000000007,3577.35,3613.61,1967.8469999999998,1942.3675,1997.965
1.44,0.38,0.924,0.9125000000000001,0.93,0.924,0.9125000000000001,0.93,0.924,0.9125000000000001,0.93,4407.556042589615,4330.238719849253,4511.94757456175,1619.9409310302865,1580.2273466690979,1673.0825113559013,3373.85,3332.1575000000003,3395.5299999999997,1691.5449999999996,1651.3474999999999,1748.365
1.44,0.4,0.9179999999999999,0.9125000000000001,0.9275,0.9179999999999999,0.9125000000000001,0.9275,0.9179999999999999,0.9125000000000001,0.9275,4763.242838115267,4718.812528928237,4835.618526836947,1594.9409584940447,1554.6701155364628,1628.3398472781619,3351.939,3332.08,3386.3075,1789.622,1737.07,1829.85
0.5625,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5747.966067703515,5747.420756655198,5748.470890232168,5452.384611611923,5448.224025863362,5456.466369841262,3650.0,3650.0,3650.0,1930.989,1918.0275,1944.235
0.5625,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5753.006280779326,5752.6168899121385,5753.544959420316,5453.630265380953,5451.89839050241,5455.336438719181,3650.0,3650.0,3650.0,1912.8899999999999,1852.285,1968.935
0.5625,0.04,0.993,0.99,0.9975,0.993,0.99,0.9975,0.993,0.99,0.9975,5741.481412776362,5724.117036799866,5767.219495863224,5427.193766370223,5405.1482565241695,5457.064082149719,3624.5339999999997,3613.62,3640.9049999999997,1975.784,1962.785,1987.8574999999998
0.5625,0.06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5819.653420333421,5818.735054650465,5820.221641515978,5450.903785884962,5442.367973018279,5456.867797058227,3650.0,3650.0,3650.0,1861.2270000000003,1814.0125,1906.4524999999999
0.5625,0.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5861.006012077379,5858.409021421261,5864.059524544146,5437.454814577471,5424.146080244559,5447.619041588996,3650.0,3650.0,3650.0,1664.7759999999998,1646.105,1690.6225
0.5625,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5906.698273426518,5905.429262440087,5908.60650310617,5446.004922405141,5439.659935383002,5451.028566982285,3650.0,3650.0,3650.0,1952.1680000000001,1873.0175,2024.1225
0.5625,0.12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5953.688686769187,5948.750100871269,5958.53385155682,5434.4620972190805,5422.166610702827,5444.688303941947,3650.0,3650.0,3650.0,1850.336,1811.495,1877.88
0.5625,0.14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5992.895433630401,5989.984834646431,5996.003871425513,5427.038490105522,5412.207786772662,5438.064661003034,3650.0,3650.0,3650.0,1944.85,1904.0025,1987.5425
