sigma,PRCC_b_oprob,PRCC_muv_oprob,PRCC_tvh_oprob,PRCC_fake_oprob,PRCC_b_eprob,PRCC_muv_eprob,PRCC_tvh_eprob,PRCC_fake_eprob
0.0,0.8472910609165921,-0.7306541415734413,0.7751345800574022,0.07122055531723051,0.7052063429802639,-0.6054653140604205,0.6264943276343198,-0.043569117071993596
0.02,0.8656828706925904,-0.7340085586609837,0.7905683754504705,0.04165805519994534,0.7053918775035345,-0.6037299712068637,0.6273257117913019,-0.04205728996923112
0.04,0.8677675548200772,-0.7384785198706821,0.7962544005891158,0.024736287285147724,0.7074800728381814,-0.6014497703382837,0.6281167967353598,-0.04130975960794072
0.06,0.8661485987258456,-0.7344543986097606,0.7901627590812373,0.03652187185963707,0.6863377291523273,-0.559570503054957,0.6248535255093397,-0.06648454970564795
0.08,0.8547907346227558,-0.7390948852099267,0.7813212339613935,0.08153052465198761,0.6684300719623271,-0.4957155949356051,0.5855294825230503,-0.049933945097740816
0.1,0.8943473813102166,-0.742153373413402,0.8093765773458401,0.06813040050336523,0.656720629427346,-0.5000591968604327,0.5794450454282123,-0.05954796189944372
0.12,0.9239736043473585,-0.8099886194944363,0.8458835683561444,0.14076724922486208,0.652834513362566,-0.4532273543169155,0.5600556870727779,-0.03398933086458536
0.14,0.9234655363187141,-0.8108962267474682,0.8492223767328013,0.12356413171489562,0.6500579059741106,-0.44587386078811914,0.5619849609279006,-0.03396299059207097
0.16,0.9434254066449895,-0.8394541946362722,0.8802106402972216,0.18224736601722621,0.6562338128797955,-0.431936989707905,0.561039338181586,-0.030254371184019368
0.18,0.950515831012637,-0.8588184938166535,0.8920329785881477,0.16799194626073924,0.6270157237044157,-0.4307497973910777,0.5247049513810281,-0.049389985434198994
0.2,0.9554424826288146,-0.8705556178373811,0.89934141098198,0.19067929877791187,0.615563449763254,-0.39614153686212616,0.5027643517485947,-0.07511442000202505
0.22,0.9570379774017789,-0.8709524697222347,0.9026529277942881,0.19250681764157343,0.6037688068122601,-0.3471631360140068,0.46061825091856523,-0.10739275536066996
0.24,0.9588136751194556,-0.8735659949136437,0.9021171323785584,0.19592558391365614,0.5890644439309561,-0.30181209877318876,0.37777033896395823,-0.15665833900057788
0.26,0.9624521831627216,-0.882668481245796,0.9079551828274763,0.210687162215886,0.5907361987653205,-0.28999110064397116,0.3795392284330981,-0.15582254995612788
0.28,0.9641163351517132,-0.8807271888784665,0.9083625278073094,0.23309115182815607,0.5577594846595895,-0.20338343708775314,0.33665069176765283,-0.15694464929231244
0.3,0.965060830345085,-0.8806512927583053,0.9082139549971278,0.2118851767710117,0.55847955822654,-0.19947620157296947,0.3361765677457891,-0.15498292413919434
0.32,0.9664913747759544,-0.8843419897324498,0.9067871378559651,0.1951479840586349,0.5609981108223364,-0.1911319901342851,0.3363716435333847,-0.1574700539802092
0.34,0.9674572615827637,-0.8846832533109497,0.9046565908300231,0.19388199364521375,0.5401334472718412,-0.19218706373006547,0.29265080079285005,-0.19765295561944463
0.36,0.9692882691315613,-0.8901172883283345,0.9075110459408792,0.19875865311106977,0.44477443051665466,-0.10689137265592855,0.28377628082624806,-0.24114886978487352
0.38,0.969145984648806,-0.8831187862112599,0.9033321993102373,0.18117251106263996,0.42696303468105395,-0.11887337772809851,0.23937248061917957,-0.2654557466312788
0.4,0.9704903904093454,-0.8856557204660457,0.9038214830158413,0.17834013592008302,0.43937154697909114,-0.09709117568756283,0.2612044734461635,-0.2370089761362196
