Thv,sigma,prob_end_mean,prob_end_25,prob_end_75,prob_out10_mean,prob_out10_25,prob_out10_75,prob_out100_mean,prob_out100_25,prob_out100_75,max_cases_all_mean,max_cases_all_25,max_cases_all_75,max_cases_out_mean,max_cases_out_25,max_cases_out_75,num_cases_mean,num_cases_25,num_cases_75,end_time_mean,end_time_25,end_time_75,end_time_out_mean,end_time_out_25,end_time_out_75,time_max_mean,time_max_25,time_max_75
0.0125,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,1.3430700085919791,1.2629551810554118,1.4323692388561644,1.3430700085919791,1.2629551810554118,1.4323692388561644,0.0,0.0,0.0,69.19678,65.2375,73.11,69.19678,65.2375,73.11,29.209439999999997,26.557499999999997,31.5025
0.0125,0.02,0.0,0.0,0.0,0.00030000000000000003,0.0,0.0,0.0,0.0,0.0,1.3483957315826456,1.261494087345902,1.4394623596304377,1.3483957315826456,1.261494087345902,1.4394623596304374,0.0,0.0,0.0,68.26637,63.56,72.67750000000001,68.26637,63.56,72.6775,28.853250000000003,26.2675,31.1875
0.0125,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3439168621485373,1.2649454561924967,1.4160219095762734,1.3439168621485373,1.2649454561924967,1.4160219095762734,0.0,0.0,0.0,66.35510999999998,61.5,70.52,66.35511,61.5,70.52,28.2893,25.8675,30.384999999999998
0.0125,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30552543935606,1.2300944149078075,1.370529824645806,1.3055254393560598,1.2300944149078075,1.370529824645806,0.0,0.0,0.0,62.70456,58.8725,66.2625,62.70456,58.8725,66.2625,26.928079999999998,24.735,29.035
0.0125,0.08,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,1.2734159526387623,1.2077577567716555,1.348720276011144,1.2734159526387623,1.2077577567716555,1.348720276011144,0.0,0.0,0.0,58.42059,55.4375,61.65,58.42059,55.4375,61.650000000000006,25.5397,23.51,27.5825
0.0125,0.1,0.0,0.0,0.0,0.0009000000000000001,0.0,0.0,0.0,0.0,0.0,1.271843151466445,1.1758850021549718,1.364146357727428,1.2718431514664452,1.175885002154972,1.364146357727428,0.0,0.0,0.0,54.02364,49.8775,57.5925,54.02364,49.877500000000005,57.5925,24.02936,21.655,26.02
0.0125,0.12,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,1.2209160270935517,1.1416955419378942,1.2954479374911665,1.220916027093552,1.1416955419378942,1.2954479374911665,0.0,0.0,0.0,49.59401000000001,46.1075,53.06,49.59401,46.107499999999995,53.06,22.39461,20.2875,24.25
0.0125,0.14,0.0,0.0,0.0,0.0008999999999999999,0.0,0.0,0.0,0.0,0.0,1.2079583275820251,1.1329823942134019,1.2755155119142092,1.2079583275820251,1.1329823942134019,1.2755155119142092,0.0,0.0,0.0,45.09960000000002,42.2675,47.7625,45.0996,42.2675,47.7625,20.578599999999998,18.677500000000002,22.2425
0.0125,0.16,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,1.1623531824759863,1.0773340028159937,1.2491080648963684,1.1623531824759865,1.0773340028159937,1.2491080648963684,0.0,0.0,0.0,39.888830000000006,37.087500000000006,42.605000000000004,39.88883,37.087500000000006,42.605000000000004,18.97675,17.4375,20.29
0.0125,0.18,0.0,0.0,0.0,0.0012999999999999997,0.0,0.0,0.0,0.0,0.0,1.1358485719792082,1.0475403040724136,1.1935263021944507,1.1358485719792084,1.0475403040724136,1.1935263021944507,0.0,0.0,0.0,35.74969999999999,33.6275,37.6125,35.7497,33.627500000000005,37.6125,17.120250000000002,15.717500000000001,18.22
0.0125,0.2,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,1.105672036632939,1.018846705480963,1.1732274776760256,1.105672036632939,1.018846705480963,1.1732274776760256,0.0,0.0,0.0,32.2682,30.21,34.0625,32.2682,30.21,34.0625,15.9395,14.64,17.02
