timestamp,value1,value2
0.0,0.0,10.0
1.0,-1.1436028719936768,8.689785902693211
1.0,0.0,8.689785902693211
2.0,0.615556649687738,5.982725145543924
3.0,1.2042656421334035,4.252692413396177
4.0,2.460328141078124,-2.079435133152569
4.0,2.460328141078124,0.0
5.0,2.2578298454695545,9.450900063462345
6.0,5.445415030322839,8.564803760530094
7.0,5.282324515113541,11.693426017427655
8.0,8.757006923203068,2.1708728994228714
9.0,6.769596427640226,-21.644703144008062
9.0,6.769596427640226,0.0
10.0,7.169107722867463,-10.271141039247677
10.0,7.169107722867463,0.0
11.0,6.908203607820577,6.792284294564672
12.0,8.857349229596554,27.586690473828376
13.0,26.959590427184054,92.7618312756783
14.0,6.008008412151057,-66.75098516009874
14.0,6.008008412151057,0.0
15.0,4.307076513984985,4.689158063696223
16.0,5.701722982633309,3.4572440207707213
17.0,7.1697316366514965,10.65636298247185
18.0,15.00357447978547,39.52998505138258
19.0,28.902726436062895,59.15909870234006
20.0,59.969202386377724,194.96709683055713
21.0,55.18550709931803,76.5402570465368
22.0,77.61880563784071,103.95699923505181
23.0,100.18123310702599,213.58569876246986
24.0,118.69695687655178,163.05818067938924
25.0,147.4623382325318,327.1801874747229
26.0,246.20271508678283,530.6080923097678
27.0,449.0204250821036,1241.6990775897907
28.0,1271.153287710282,4084.126949995587
29.0,1727.1973321742723,3736.7946356554708
30.0,3854.748130525384,13877.601873964537
31.0,3492.0653432586814,5420.571466498766
32.0,3140.5791174084898,-204.00871750177612
32.0,3140.5791174084898,0.0
33.0,2797.8086838768404,8600.396154725498
34.0,6663.927711001429,23308.289079748894
35.0,9466.840492116651,39897.83881502579
36.0,8383.096998784707,13635.351340127923
37.0,7812.212564122213,13715.444982007917
38.0,8783.101526875267,44024.523422112004
39.0,8643.794696168048,34513.34656200397
40.0,8514.552988947544,30071.536141007673
41.0,9112.168582292341,40430.224306004326
42.0,9204.468185248585,45353.692179659825
43.0,7089.572893511852,-7460.248988066436
43.0,7089.572893511852,0.0
44.0,6365.356045183046,25659.76663171345
45.0,8896.624491566097,34801.755785900685
46.0,8327.008579588517,24147.637518506854
47.0,8669.380566079682,31256.30993525732
48.0,8398.56313017339,27151.843152178204
49.0,8939.176290475833,36851.85326961821
50.0,9581.838811052232,52486.206768350385
51.0,9612.372084558754,71865.36012325782
52.0,9620.616402476317,75962.37793976335
53.0,8256.811757967642,31037.004478029638
54.0,9095.330945897567,39590.550904398195
55.0,8461.059132872851,25513.019239269895
56.0,9030.033657138347,38766.91754803579
57.0,8660.262525924,29687.157556002356
58.0,8208.619665795115,21455.750887058217
59.0,9028.791300316527,40211.18030754261
60.0,9296.51030721804,45156.875188718186
61.0,8577.436332395133,30593.951063907476
62.0,8076.526709912458,19914.922450095444
63.0,7083.045288009076,2565.142329851049
64.0,6708.556672539514,25466.163200604038
65.0,6871.310608611388,17801.745237260315
66.0,6966.013924940634,15351.87839999238
67.0,9620.48015926941,51344.10555938932
68.0,9256.497162940754,53566.959155890676
69.0,10383.967972663935,77616.15563649789
69.0,10000.0,77616.15563649789
70.0,9043.221069219027,68061.88840766456
71.0,11301.065521518416,86084.79082511748
71.0,10000.0,86084.79082511748
72.0,9015.870597349096,101237.16029890259
72.0,9015.870597349096,100000.0
73.0,10887.68990779202,91027.45808458982
73.0,10000.0,91027.45808458982
74.0,8977.664201704069,59646.74102279671
75.0,10422.384845184148,69635.58933195572
75.0,10000.0,69635.58933195572
76.0,9020.417071064985,73417.49626517112
77.0,8757.74849596431,50783.429322530035
78.0,8887.041470548196,41570.36382716793
79.0,9096.80833869202,41871.54813875715
80.0,10307.382350460239,71088.12491904966
80.0,10000.0,71088.12491904966
81.0,8986.378188502971,86417.39400330282
82.0,9177.399106604613,63936.18713440056
83.0,11088.277235660307,86680.89672615827
83.0,10000.0,86680.89672615827
84.0,9006.02679604911,52849.756621605775
85.0,9443.930846306199,52450.48355720371
86.0,9005.37679618214,44468.030482438204
87.0,10996.058622760802,81306.6009480641
87.0,10000.0,81306.6009480641
