timestamp,value1,value2
0.0,0.0,10.0
1.0,0.2878800858063483,10.919131306089133
2.0,0.8255397062011316,7.3377715162759065
3.0,1.268372215756155,5.726489719082942
4.0,2.0214027762081432,4.5945405212458805
5.0,1.7088702582721425,6.722104966284925
6.0,1.9793665226502246,11.907099046466412
7.0,0.7567649391123938,12.326279687512923
8.0,0.990873846847909,12.319049384708375
9.0,-0.00612474773685201,12.251627062595409
9.0,0.0,12.251627062595409
10.0,0.38645878745327183,10.491503408619522
11.0,0.8012939711058391,10.68172141891649
12.0,0.3417282799947413,11.297869059409434
13.0,0.4962506275600708,7.969756056785834
14.0,0.5568523900372234,5.892705084435073
15.0,0.13042243293578604,8.279275274991498
16.0,0.3580924307104853,9.982012177734362
17.0,-0.09433509013197028,11.112667707850848
17.0,0.0,11.112667707850848
18.0,-0.07601235625141489,8.88067354993924
18.0,0.0,8.88067354993924
19.0,0.08537884555152578,9.54423725848832
20.0,0.9754982064780982,10.937786063588835
21.0,1.475652022589556,15.946799413263737
22.0,3.2812529588118142,13.852967744136798
23.0,5.409540171407623,20.707009816863216
24.0,6.42093870303561,20.830031369349022
25.0,6.228062563458934,24.352044160674083
26.0,6.340456775396572,36.118768375396456
27.0,8.54767936946741,29.141260448506085
28.0,11.82575821181673,38.130658322193845
29.0,8.674898816821479,38.261431278473346
30.0,7.632535348259963,55.17912019772972
31.0,7.693045168709733,62.54097109358654
32.0,7.905709475101164,66.61758137377407
33.0,9.109908266236575,92.18206783345872
34.0,8.090962114660607,85.47801694717428
35.0,8.839218943016348,77.07506428668572
36.0,9.750953777875747,76.58128483104966
37.0,12.746554863616385,101.56244779998664
38.0,15.453200581520012,113.40690152811956
39.0,18.293540708928273,105.21505928959922
40.0,17.952747495973657,156.20411392314378
41.0,18.793689048147446,132.2993005115461
42.0,21.262764251576773,192.47503775947325
43.0,22.513255474368055,162.7863498811966
44.0,26.585096023754687,157.24846301490297
45.0,28.701107653949848,154.0535841505473
46.0,29.786009957439845,236.35196260319015
47.0,31.528754372563107,280.27025104545146
48.0,41.01900894753575,291.4344277359308
49.0,48.52131523187279,338.9535916731249
50.0,60.04031583050344,456.6167991401401
51.0,65.28315495994521,530.934673633257
52.0,76.04242614469332,628.5218977622217
53.0,76.98515526314989,615.5018152424448
54.0,85.59420333525209,739.6157637949065
55.0,90.37936155276057,844.1360180517835
56.0,110.55065382244089,943.7716070769642
57.0,108.37867871070314,693.4452349306445
58.0,107.40185327158936,688.0769121014337
59.0,112.08991181588986,702.7394856975005
60.0,128.72193569440552,956.319625046891
61.0,139.4535313014041,1098.7551215466247
62.0,151.92291401967663,1211.9047602178453
63.0,173.92000572443933,1333.3677529718473
64.0,164.19456805654738,1206.5365348278904
65.0,195.8316015298349,1422.5056844014355
66.0,203.84201415397635,1306.098391669801
67.0,231.65864716143074,2005.2801036769533
68.0,227.4032440782858,1701.2771404549912
69.0,229.71851529397384,1586.0041384269402
70.0,258.0948370639142,1651.7294574704613
71.0,276.99766014985494,1921.3157447284382
72.0,306.69824999899686,2412.260061694968
73.0,326.33308206333174,1846.4973478637635
74.0,339.11714084102664,2582.2819279850883
75.0,393.95746922938196,3220.8294448061706
76.0,386.66112520489855,2280.4854629574957
77.0,410.75615443042176,2366.3785614107865
78.0,418.52224387122607,2686.5340555865464
79.0,420.31929352439954,2653.822418216537
80.0,451.3192486743337,2808.906822705162
81.0,530.4856570396498,4417.9543967968
82.0,576.8478936611431,4630.533580978961
83.0,577.8833268427005,3838.160847068031
84.0,606.140669437593,4309.851953247093
85.0,710.9166735499007,5943.827894806605
86.0,788.892411757009,6191.183080519854
87.0,935.4920540106295,8223.878832901963
88.0,943.0024828912833,6643.157538242298
89.0,1052.6708403306432,8808.097053279147
90.0,1143.8842389402112,9330.76465084037
91.0,1232.6518283081027,9781.976899841788
92.0,1240.8752934282497,8089.767755927451
93.0,1235.9336929023116,7602.327707107348
94.0,1444.601604195177,12271.885464021867
95.0,1488.3942147978878,11922.795431140814
96.0,1706.0983062174557,14951.89799495446
97.0,1783.5418220509557,13690.558591624846
98.0,1860.3736116146677,14440.20502098741
99.0,1897.974336417669,12194.047918114986
100.0,1891.2653429830943,12164.055241682401
101.0,1955.384297553038,13122.171027499886
102.0,1971.9783988125946,13262.314829852232
103.0,2181.0705491143567,17866.60753724923
104.0,2346.199943159376,20495.62997789446
105.0,2388.033258960246,17084.44462066487
106.0,2387.7139086055045,14756.657048664847
107.0,2337.7278550354104,13306.585461455865
108.0,2350.2520135011428,15650.741223598383
109.0,2329.7036854366584,14181.334057041497
110.0,2548.243118186397,21291.841501651317
111.0,2611.046670854637,19667.505986940487
112.0,2698.4435785265396,20077.784937913144
113.0,2814.6044321828244,21491.653994678916
114.0,2874.697051248694,21217.084472879265
115.0,2981.537478346191,22555.24829734071
116.0,3036.56728706164,22215.606890808467
117.0,3178.323833683713,24622.02633995203
118.0,3234.0749813313187,23360.907407625116
119.0,3311.951995588015,25392.100836653222
120.0,3292.3284632014975,22558.763547831244
121.0,3510.1118416449585,28253.875522774095
122.0,3323.3414565396574,20857.178049131147
123.0,3154.1367476104697,15994.507576743554
124.0,3155.9376057947993,19334.296705025714
125.0,3221.6984825389213,21205.253960068003
126.0,3174.5469013210586,18964.11490470093
127.0,3398.172292045943,29201.23580913293
128.0,3943.5641480163827,38107.41887302383
129.0,3725.333708956655,26110.13485366862
130.0,3803.0754859075673,28977.293293891107
131.0,3849.541960748685,28063.60831970427
132.0,3792.724066844699,25870.595633192905
133.0,3820.775716426554,28304.42601659506
134.0,3936.998439877376,30157.240382118474
135.0,4065.7912467911287,33087.827106559715
136.0,4416.671635936898,40505.258010081336
137.0,4379.632387123764,33583.760669436815
138.0,4473.369052965713,36517.82769593621
139.0,4510.982900895382,35497.830470487956
140.0,4606.903470210654,38317.603402167035
141.0,4917.674373295727,46009.04404425421
142.0,4720.175597300745,34673.127667732864
143.0,4785.621784982129,38757.68385486391
144.0,4656.257734814814,31347.0153490792
145.0,4590.481480580735,33443.61536285267
146.0,4346.012888071431,27044.170100986103
147.0,4283.1260593384695,26624.63742672059
148.0,4038.472512629298,19866.905942538004
149.0,3918.5667382913275,23575.14915950134
150.0,3818.7564923367368,21609.985660345283
151.0,3795.3906424408688,23382.774604588638
152.0,3691.006215393302,20413.739467334486
153.0,3734.17613456721,24902.462959354885
154.0,3807.6851720915256,28333.670917664145
155.0,3966.4444480395687,32139.202085739424
156.0,4013.6142685425903,31085.16549538344
157.0,4072.1848029602165,30087.534973775953
158.0,3851.5443571685732,22830.981552112804
159.0,3758.9695638908865,20547.398639455147
160.0,3724.0789512726797,24195.283194099076
161.0,3594.137750141164,20325.99370886299
162.0,3535.4183327853584,21345.224526302958
163.0,3615.506013779628,25896.92604776799
164.0,3364.257467438217,16398.7017756462
165.0,3265.698275396879,16604.234753674464
166.0,3329.66905254955,23460.86048052441
167.0,3537.0925081072364,28822.694178447324
168.0,3749.5544189127622,31452.40299022429
169.0,3978.3493789160457,34161.301222025184
170.0,4017.6797259389095,33624.99203906196
171.0,3945.117588172588,28535.414817758836
172.0,3963.5057842165284,29126.785725576483
173.0,4023.189249545976,29950.871101835397
174.0,4257.05492919218,37207.151229981566
175.0,4549.532206648199,40377.03888067285
176.0,5050.0185419326135,52535.40927301537
177.0,5378.584918300776,54623.33234919003
178.0,5535.987015429954,53706.88265329156
179.0,6083.773771491387,67950.73319720749
180.0,6195.374751086377,63172.11578648715
181.0,5993.061015712492,52872.874346104945
182.0,6002.672458346296,53616.38217558631
183.0,6142.091426834291,60072.08607920323
184.0,6249.350090555172,60339.05931897881
185.0,5934.278805864809,46689.74778691788
186.0,5979.947282732993,51596.932684592655
187.0,5676.676657226899,40635.565174673684
188.0,5409.535553989023,36558.58006324993
189.0,5303.45637630133,38262.12611538586
190.0,5357.677478250973,46185.37414571356
191.0,5514.797477934643,50696.08943346483
192.0,5738.351296026051,55172.137502960235
193.0,5711.31061352237,50642.1377615973
194.0,5912.3185731120275,54985.530671683126
195.0,6035.794150865758,57374.89850373326
196.0,5903.010728556694,49233.39354674677
