R0,sigma,prob_end_mean,prob_end_25,prob_end_75,prob_out10_mean,prob_out10_25,prob_out10_75,prob_out100_mean,prob_out100_25,prob_out100_75,max_cases_all_mean,max_cases_all_25,max_cases_all_75,max_cases_out_mean,max_cases_out_25,max_cases_out_75,num_cases_mean,num_cases_25,num_cases_75,end_time_mean,end_time_25,end_time_75,end_time_out_mean,end_time_out_25,end_time_out_75,time_max_mean,time_max_25,time_max_75
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.822001066979599,0.7410245389939769,0.9417207330274623,0.822001066979599,0.7410245389939769,0.9417207330274623,0.0,0.0,0.0,40.198225898086946,34.95662538672903,43.497501445444826,40.19822589808695,34.95662538672903,43.497501445444826,17.644027750907522,12.916290886773337,24.13135195667413
0.5,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9089071524051251,0.7536000259630004,1.037649779821705,0.9089071524051251,0.7536000259630004,1.037649779821705,0.0,0.0,0.0,41.87356218119981,35.24758261134704,47.90472529401453,41.873562181199816,35.24758261134704,47.90472529401453,15.650193666173422,11.668273087270055,18.320996380109502
0.5,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9540512371459855,0.81514069188967,1.1073757940630116,0.9540512371459856,0.81514069188967,1.1073757940630116,0.0,0.0,0.0,44.80079405590589,35.34819609462434,50.377512683467955,44.8007940559059,35.34819609462434,50.377512683467955,20.029751650161273,16.654742200408656,22.798349248420486
0.5,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.869122786800262,0.7127853349021944,1.0299635163502854,0.8691227868002622,0.7127853349021944,1.0299635163502854,0.0,0.0,0.0,42.34366052572831,36.857107398849166,48.35743976085675,42.34366052572831,36.857107398849166,48.35743976085675,17.82436662107224,14.67592235530424,20.627139135323127
0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8427473942611741,0.7236442092440121,0.966951852263372,0.8427473942611743,0.7236442092440121,0.966951852263372,0.0,0.0,0.0,38.76774666927174,32.86560228141011,44.40474760317396,38.767746669271745,32.86560228141011,44.40474760317396,15.914800052354845,13.877528821806067,18.91345933083476
0.5,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9330310973906999,0.7997582557705647,1.0442077782295025,0.9330310973906999,0.7997582557705647,1.0442077782295025,0.0,0.0,0.0,44.48249378924463,37.82856072680806,52.36656280568609,44.48249378924462,37.82856072680806,52.36656280568609,17.582775681858436,13.044319433390474,19.831467715253837
0.5,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0438117308077157,0.9617769386545515,1.1616414574023763,1.0438117308077157,0.9617769386545515,1.1616414574023763,0.0,0.0,0.0,47.990395663090645,40.765821000930345,56.882735197624505,47.990395663090645,40.765821000930345,56.882735197624505,19.918407251608574,16.38597350539635,24.079192335880258
0.5,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9462285880492851,0.6834871010015191,1.1430484981562876,0.9462285880492853,0.6834871010015191,1.1430484981562876,0.0,0.0,0.0,45.65311499543929,38.4287413712084,51.44459585402638,45.65311499543928,38.4287413712084,51.44459585402638,17.36380629158463,14.274422194343327,19.05232454776006
0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9257081947603932,0.8416407204550707,1.0078260535999701,0.9257081947603932,0.8416407204550707,1.0078260535999701,0.0,0.0,0.0,45.267644417241925,38.98646751605426,47.28870348915401,45.26764441724192,38.98646751605426,47.28870348915401,18.81332332709864,16.360052589125065,19.212488005499548
0.5,0.1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.906157820068174,0.8394987002319675,1.0193499731677986,0.9061578200681739,0.8394987002319675,1.0193499731677986,0.0,0.0,0.0,45.305829808570536,35.25708384413524,54.344041673578566,45.30582980857053,35.25708384413524,54.344041673578566,17.8481582958296,14.59819569311988,21.403326229904543
