Thv,sigma,max_cases_all_mean,max_cases_all_25,max_cases_all_75,max_cases_end_mean,max_cases_out_mean,end_time_mean,end_time_25,end_time_75,end_time_out_mean
0.0125,0.0,1.4369167989184726,1.4369167989184726,1.4369167989184726,NaN,1.4369167989184726,73.1,73.1,73.1,73.1
0.020055555555555556,0.0,2.89691704626748,2.89691704626748,2.89691704626748,NaN,2.89691704626748,144.16,144.16,144.16,144.16
0.0245,0.0,84.34482853100396,84.34482853100396,84.34482853100396,512.0541742359309,2.876381730065531,697.41,697.41,697.41,135.01190476190476
0.034722222222222224,0.0,1471.1619594925696,1471.1619594925696,1471.1619594925696,2014.9345803583728,0.9619104850290198,2675.15,2675.15,2675.15,39.44444444444444
0.08888888888888889,0.0,5481.6087035416185,5481.6087035416185,5481.6087035416185,5651.117713354437,0.8173862604697911,3541.03,3541.03,3541.03,17.666666666666668
0.35555555555555557,0.0,8725.626290143256,8725.626290143256,8725.626290143256,8725.626290143256,NaN,3650.0,3650.0,3650.0,NaN
0.9388888888888889,0.0,9670.226674154675,9670.226674154675,9670.226674154675,9670.226674154675,NaN,3650.0,3650.0,3650.0,NaN
0.0125,0.02,1.3222469986248575,1.3222469986248575,1.3222469986248575,NaN,1.3222469986248575,59.44,59.44,59.44,59.44
0.020055555555555556,0.02,2.983223599520926,2.983223599520926,2.983223599520926,NaN,2.983223599520926,147.44,147.44,147.44,147.44
0.0245,0.02,165.34025665607615,165.34025665607615,165.34025665607615,583.5710856894144,2.694934254222382,1101.01,1101.01,1101.01,109.73611111111111
0.034722222222222224,0.02,1373.9082440525476,1373.9082440525476,1373.9082440525476,2288.849131802345,1.4969124278506443,2209.66,2209.66,2209.66,49.15
0.08888888888888889,0.02,5691.309176919207,5691.309176919207,5691.309176919207,5990.801353170998,0.9578281351739191,3468.32,3468.32,3468.32,16.4
0.35555555555555557,0.02,8906.489172234256,8906.489172234256,8906.489172234256,8906.489172234256,NaN,3650.0,3650.0,3650.0,NaN
0.9388888888888889,0.02,9951.979920388274,9951.979920388274,9951.979920388274,9951.979920388274,NaN,3650.0,3650.0,3650.0,NaN
0.0125,0.04,1.1585109009713657,1.1585109009713657,1.1585109009713657,NaN,1.1585109009713657,56.58,56.58,56.58,56.58
0.020055555555555556,0.04,3.081793990929246,3.081793990929246,3.081793990929246,NaN,3.081793990929246,141.54,141.54,141.54,141.54
0.0245,0.04,106.10624071667735,106.10624071667735,106.10624071667735,690.7222400718587,2.938711418704202,651.66,651.66,651.66,122.54117647058824
0.034722222222222224,0.04,1722.7480310990245,1722.7480310990245,1722.7480310990245,2649.471686028846,1.6898148007866418,2393.69,2393.69,2393.69,60.542857142857144
